table_label,dataset,k,selector,metric,stat,seed,paper_value,source_value,delta,status,source_id
tab:gate_active_resampling,MRPC,0.25,Gated URS vs URS-no-gate,gate activity / resampling,selection_size,0;1;2;3 with resamples as applicable,92.0,92.0,0.0,MATCH,gate_active_resampling
tab:gate_active_resampling,MRPC,0.25,Gated URS vs URS-no-gate,gate activity / resampling,changed_cells,0;1;2;3 with resamples as applicable,1.0,1.0,0.0,MATCH,gate_active_resampling
tab:gate_active_resampling,MRPC,0.25,Gated URS vs URS-no-gate,gate activity / resampling,total_cells,0;1;2;3 with resamples as applicable,60.0,60.0,0.0,MATCH,gate_active_resampling
tab:gate_active_resampling,MRPC,0.25,Gated URS vs URS-no-gate,gate activity / resampling,mean_delta_pp,0;1;2;3 with resamples as applicable,0.545,0.544959,4.1e-05,MATCH,gate_active_resampling
tab:gate_active_resampling,MRPC,0.5,Gated URS vs URS-no-gate,gate activity / resampling,selection_size,0;1;2;3 with resamples as applicable,184.0,184.0,0.0,MATCH,gate_active_resampling
tab:gate_active_resampling,MRPC,0.5,Gated URS vs URS-no-gate,gate activity / resampling,changed_cells,0;1;2;3 with resamples as applicable,1.0,1.0,0.0,MATCH,gate_active_resampling
tab:gate_active_resampling,MRPC,0.5,Gated URS vs URS-no-gate,gate activity / resampling,total_cells,0;1;2;3 with resamples as applicable,60.0,60.0,0.0,MATCH,gate_active_resampling
tab:gate_active_resampling,MRPC,0.5,Gated URS vs URS-no-gate,gate activity / resampling,mean_delta_pp,0;1;2;3 with resamples as applicable,-0.545,-0.544959,4.1e-05,MATCH,gate_active_resampling
tab:gate_active_resampling,MRPC,0.75,Gated URS vs URS-no-gate,gate activity / resampling,selection_size,0;1;2;3 with resamples as applicable,275.0,275.0,0.0,MATCH,gate_active_resampling
tab:gate_active_resampling,MRPC,0.75,Gated URS vs URS-no-gate,gate activity / resampling,changed_cells,0;1;2;3 with resamples as applicable,0.0,0.0,0.0,MATCH,gate_active_resampling
tab:gate_active_resampling,MRPC,0.75,Gated URS vs URS-no-gate,gate activity / resampling,total_cells,0;1;2;3 with resamples as applicable,60.0,60.0,0.0,MATCH,gate_active_resampling
tab:gate_active_resampling,MRPC,1.0,Gated URS vs URS-no-gate,gate activity / resampling,selection_size,0;1;2;3 with resamples as applicable,367.0,367.0,0.0,MATCH,gate_active_resampling
tab:gate_active_resampling,MRPC,1.0,Gated URS vs URS-no-gate,gate activity / resampling,changed_cells,0;1;2;3 with resamples as applicable,0.0,0.0,0.0,MATCH,gate_active_resampling
tab:gate_active_resampling,MRPC,1.0,Gated URS vs URS-no-gate,gate activity / resampling,total_cells,0;1;2;3 with resamples as applicable,12.0,12.0,0.0,MATCH,gate_active_resampling
tab:gate_active_resampling,CoLA,0.25,Gated URS vs URS-no-gate,gate activity / resampling,selection_size,0;1;2;3 with resamples as applicable,214.0,214.0,0.0,MATCH,gate_active_resampling
tab:gate_active_resampling,CoLA,0.25,Gated URS vs URS-no-gate,gate activity / resampling,changed_cells,0;1;2;3 with resamples as applicable,13.0,13.0,0.0,MATCH,gate_active_resampling
tab:gate_active_resampling,CoLA,0.25,Gated URS vs URS-no-gate,gate activity / resampling,total_cells,0;1;2;3 with resamples as applicable,60.0,60.0,0.0,MATCH,gate_active_resampling
tab:gate_active_resampling,CoLA,0.25,Gated URS vs URS-no-gate,gate activity / resampling,mean_delta_pp,0;1;2;3 with resamples as applicable,0.027,0.026959,4.1e-05,MATCH,gate_active_resampling
tab:gate_active_resampling,CoLA,0.5,Gated URS vs URS-no-gate,gate activity / resampling,selection_size,0;1;2;3 with resamples as applicable,428.0,428.0,0.0,MATCH,gate_active_resampling
tab:gate_active_resampling,CoLA,0.5,Gated URS vs URS-no-gate,gate activity / resampling,changed_cells,0;1;2;3 with resamples as applicable,8.0,8.0,0.0,MATCH,gate_active_resampling
tab:gate_active_resampling,CoLA,0.5,Gated URS vs URS-no-gate,gate activity / resampling,total_cells,0;1;2;3 with resamples as applicable,60.0,60.0,0.0,MATCH,gate_active_resampling
tab:gate_active_resampling,CoLA,0.5,Gated URS vs URS-no-gate,gate activity / resampling,mean_delta_pp,0;1;2;3 with resamples as applicable,0.029,0.0292056,0.000206,MATCH,gate_active_resampling
tab:gate_active_resampling,CoLA,0.75,Gated URS vs URS-no-gate,gate activity / resampling,selection_size,0;1;2;3 with resamples as applicable,642.0,642.0,0.0,MATCH,gate_active_resampling
tab:gate_active_resampling,CoLA,0.75,Gated URS vs URS-no-gate,gate activity / resampling,changed_cells,0;1;2;3 with resamples as applicable,11.0,11.0,0.0,MATCH,gate_active_resampling
tab:gate_active_resampling,CoLA,0.75,Gated URS vs URS-no-gate,gate activity / resampling,total_cells,0;1;2;3 with resamples as applicable,60.0,60.0,0.0,MATCH,gate_active_resampling
tab:gate_active_resampling,CoLA,0.75,Gated URS vs URS-no-gate,gate activity / resampling,mean_delta_pp,0;1;2;3 with resamples as applicable,0.074,0.0743415,0.000342,MATCH,gate_active_resampling
tab:gate_active_resampling,CoLA,1.0,Gated URS vs URS-no-gate,gate activity / resampling,selection_size,0;1;2;3 with resamples as applicable,856.0,856.0,0.0,MATCH,gate_active_resampling
tab:gate_active_resampling,CoLA,1.0,Gated URS vs URS-no-gate,gate activity / resampling,changed_cells,0;1;2;3 with resamples as applicable,3.0,3.0,0.0,MATCH,gate_active_resampling
tab:gate_active_resampling,CoLA,1.0,Gated URS vs URS-no-gate,gate activity / resampling,total_cells,0;1;2;3 with resamples as applicable,12.0,12.0,0.0,MATCH,gate_active_resampling
tab:gate_active_resampling,CoLA,1.0,Gated URS vs URS-no-gate,gate activity / resampling,mean_delta_pp,0;1;2;3 with resamples as applicable,0.039,0.0389408,5.9e-05,MATCH,gate_active_resampling
