table_label,dataset,k,selector,metric,stat,seed,paper_value,source_value,delta,status,source_id
tab:main_results_review_grouped,MNLI,1,Magnitude,accuracy,mean,,38.96,38.962063,0.002063,MATCH,main_low_budget
tab:main_results_review_grouped,MNLI,1,URS-E_i,accuracy,mean,,39.72,39.719793,0.000207,MATCH,main_low_budget
tab:main_results_review_grouped,MNLI,1,URS,accuracy,mean,,39.72,39.719793,0.000207,MATCH,main_low_budget
tab:main_results_review_grouped,MNLI,2,Magnitude,accuracy,mean,,41.56,41.555635,0.004365,MATCH,main_low_budget
tab:main_results_review_grouped,MNLI,2,URS-E_i,accuracy,mean,,43.91,43.907648,0.002352,MATCH,main_low_budget
tab:main_results_review_grouped,MNLI,2,URS,accuracy,mean,,43.91,43.907648,0.002352,MATCH,main_low_budget
tab:main_results_review_grouped,MNLI,4,Magnitude,accuracy,mean,,50.1,50.096623,0.003377,MATCH,main_low_budget
tab:main_results_review_grouped,MNLI,4,URS-E_i,accuracy,mean,,55.47,55.466843,0.003157,MATCH,main_low_budget
tab:main_results_review_grouped,MNLI,4,URS,accuracy,mean,,55.47,55.466843,0.003157,MATCH,main_low_budget
tab:main_results_review_grouped,MNLI,avg,Magnitude,accuracy,mean,,43.54,43.538107,0.001893,MATCH,main_low_budget
tab:main_results_review_grouped,MNLI,avg,URS-E_i,accuracy,mean,,46.37,46.364761,0.005239,MATCH,main_low_budget
tab:main_results_review_grouped,MNLI,avg,URS,accuracy,mean,,46.37,46.364761,0.005239,MATCH,main_low_budget
tab:main_results_review_grouped,QNLI,1,Magnitude,accuracy,mean,,53.26,53.257757,0.002243,MATCH,main_low_budget
tab:main_results_review_grouped,QNLI,1,URS-E_i,accuracy,mean,,53.76,53.75895,0.00105,MATCH,main_low_budget
tab:main_results_review_grouped,QNLI,1,URS,accuracy,mean,,53.76,53.75895,0.00105,MATCH,main_low_budget
tab:main_results_review_grouped,QNLI,2,Magnitude,accuracy,mean,,54.88,54.875895,0.004105,MATCH,main_low_budget
tab:main_results_review_grouped,QNLI,2,URS-E_i,accuracy,mean,,55.56,55.560859,0.000859,MATCH,main_low_budget
tab:main_results_review_grouped,QNLI,2,URS,accuracy,mean,,55.56,55.560859,0.000859,MATCH,main_low_budget
tab:main_results_review_grouped,QNLI,4,Magnitude,accuracy,mean,,60.16,60.155131,0.004869,MATCH,main_low_budget
tab:main_results_review_grouped,QNLI,4,URS-E_i,accuracy,mean,,61.11,61.112172,0.002172,MATCH,main_low_budget
tab:main_results_review_grouped,QNLI,4,URS,accuracy,mean,,61.11,61.112172,0.002172,MATCH,main_low_budget
tab:main_results_review_grouped,QNLI,avg,Magnitude,accuracy,mean,,56.1,56.096261,0.003739,MATCH,main_low_budget
tab:main_results_review_grouped,QNLI,avg,URS-E_i,accuracy,mean,,56.81,56.81066,0.00066,MATCH,main_low_budget
tab:main_results_review_grouped,QNLI,avg,URS,accuracy,mean,,56.81,56.81066,0.00066,MATCH,main_low_budget
tab:main_results_review_grouped,MRPC,1,Magnitude,accuracy,mean,,54.56,54.564033,0.004033,MATCH,main_low_budget
tab:main_results_review_grouped,MRPC,1,URS-E_i,accuracy,mean,,55.86,55.858311,0.001689,MATCH,main_low_budget
tab:main_results_review_grouped,MRPC,1,URS,accuracy,mean,,55.86,55.858311,0.001689,MATCH,main_low_budget
tab:main_results_review_grouped,MRPC,2,Magnitude,accuracy,mean,,56.95,56.948229,0.001771,MATCH,main_low_budget
tab:main_results_review_grouped,MRPC,2,URS-E_i,accuracy,mean,,58.51,58.514986,0.004986,MATCH,main_low_budget
tab:main_results_review_grouped,MRPC,2,URS,accuracy,mean,,58.51,58.514986,0.004986,MATCH,main_low_budget
tab:main_results_review_grouped,MRPC,4,Magnitude,accuracy,mean,,63.42,63.419619,0.000381,MATCH,main_low_budget
tab:main_results_review_grouped,MRPC,4,URS-E_i,accuracy,mean,,66.01,66.008174,0.001826,MATCH,main_low_budget
tab:main_results_review_grouped,MRPC,4,URS,accuracy,mean,,66.01,66.008174,0.001826,MATCH,main_low_budget
tab:main_results_review_grouped,MRPC,avg,Magnitude,accuracy,mean,,58.31,58.310627,0.000627,MATCH,main_low_budget
tab:main_results_review_grouped,MRPC,avg,URS-E_i,accuracy,mean,,60.13,60.127157,0.002843,MATCH,main_low_budget
tab:main_results_review_grouped,MRPC,avg,URS,accuracy,mean,,60.13,60.127157,0.002843,MATCH,main_low_budget
tab:main_results_review_grouped,CIFAR-10,1,Magnitude,accuracy,mean,,93.31,93.305,0.005,MATCH,main_low_budget
tab:main_results_review_grouped,CIFAR-10,1,URS-E_i,accuracy,mean,,93.46,93.4575,0.0025,MATCH,main_low_budget
tab:main_results_review_grouped,CIFAR-10,1,URS,accuracy,mean,,93.46,93.4575,0.0025,MATCH,main_low_budget
tab:main_results_review_grouped,CIFAR-10,2,Magnitude,accuracy,mean,,94.53,94.5275,0.0025,MATCH,main_low_budget
tab:main_results_review_grouped,CIFAR-10,2,URS-E_i,accuracy,mean,,94.96,94.9625,0.0025,MATCH,main_low_budget
tab:main_results_review_grouped,CIFAR-10,2,URS,accuracy,mean,,94.96,94.9625,0.0025,MATCH,main_low_budget
tab:main_results_review_grouped,CIFAR-10,4,Magnitude,accuracy,mean,,96.56,96.56,0.0,MATCH,main_low_budget
tab:main_results_review_grouped,CIFAR-10,4,URS-E_i,accuracy,mean,,96.77,96.765,0.005,MATCH,main_low_budget
tab:main_results_review_grouped,CIFAR-10,4,URS,accuracy,mean,,96.77,96.765,0.005,MATCH,main_low_budget
tab:main_results_review_grouped,CIFAR-10,avg,Magnitude,accuracy,mean,,94.8,94.7975,0.0025,MATCH,main_low_budget
tab:main_results_review_grouped,CIFAR-10,avg,URS-E_i,accuracy,mean,,95.06,95.061667,0.001667,MATCH,main_low_budget
tab:main_results_review_grouped,CIFAR-10,avg,URS,accuracy,mean,,95.06,95.061667,0.001667,MATCH,main_low_budget
tab:main_results_review_grouped,CIFAR-100,1,Magnitude,accuracy,mean,,79.59,79.59,0.0,MATCH,main_low_budget
tab:main_results_review_grouped,CIFAR-100,1,URS-E_i,accuracy,mean,,79.9,79.9,0.0,MATCH,main_low_budget
tab:main_results_review_grouped,CIFAR-100,1,URS,accuracy,mean,,79.9,79.9,0.0,MATCH,main_low_budget
tab:main_results_review_grouped,CIFAR-100,2,Magnitude,accuracy,mean,,82.07,82.0725,0.0025,MATCH,main_low_budget
tab:main_results_review_grouped,CIFAR-100,2,URS-E_i,accuracy,mean,,82.66,82.6625,0.0025,MATCH,main_low_budget
tab:main_results_review_grouped,CIFAR-100,2,URS,accuracy,mean,,82.66,82.6625,0.0025,MATCH,main_low_budget
tab:main_results_review_grouped,CIFAR-100,4,Magnitude,accuracy,mean,,85.74,85.7425,0.0025,MATCH,main_low_budget
tab:main_results_review_grouped,CIFAR-100,4,URS-E_i,accuracy,mean,,86.2,86.1975,0.0025,MATCH,main_low_budget
tab:main_results_review_grouped,CIFAR-100,4,URS,accuracy,mean,,86.2,86.1975,0.0025,MATCH,main_low_budget
tab:main_results_review_grouped,CIFAR-100,avg,Magnitude,accuracy,mean,,82.47,82.468333,0.001667,MATCH,main_low_budget
tab:main_results_review_grouped,CIFAR-100,avg,URS-E_i,accuracy,mean,,82.92,82.92,0.0,MATCH,main_low_budget
tab:main_results_review_grouped,CIFAR-100,avg,URS,accuracy,mean,,82.92,82.92,0.0,MATCH,main_low_budget
