table_label,dataset,k,selector,metric,stat,seed,paper_value,source_value,delta,status,source_id
tab:per_seed_main_vision,CIFAR-10,1,Magnitude,accuracy,seed,0,92.96,92.96,0.0,MATCH,per_seed_main_vision
tab:per_seed_main_vision,CIFAR-10,1,Magnitude,accuracy,seed,1,93.78,93.78,0.0,MATCH,per_seed_main_vision
tab:per_seed_main_vision,CIFAR-10,1,Magnitude,accuracy,seed,2,93.26,93.26,0.0,MATCH,per_seed_main_vision
tab:per_seed_main_vision,CIFAR-10,1,Magnitude,accuracy,seed,3,93.22,93.22,0.0,MATCH,per_seed_main_vision
tab:per_seed_main_vision,CIFAR-10,1,Magnitude,accuracy,mean,,93.31,93.305,0.005,MATCH,per_seed_main_vision
tab:per_seed_main_vision,CIFAR-10,1,Magnitude,accuracy,se,,0.17,0.171731,0.001731,MATCH,per_seed_main_vision
tab:per_seed_main_vision,CIFAR-10,1,URS,accuracy,seed,0,93.43,93.43,0.0,MATCH,per_seed_main_vision
tab:per_seed_main_vision,CIFAR-10,1,URS,accuracy,seed,1,93.92,93.92,0.0,MATCH,per_seed_main_vision
tab:per_seed_main_vision,CIFAR-10,1,URS,accuracy,seed,2,93.26,93.26,0.0,MATCH,per_seed_main_vision
tab:per_seed_main_vision,CIFAR-10,1,URS,accuracy,seed,3,93.22,93.22,0.0,MATCH,per_seed_main_vision
tab:per_seed_main_vision,CIFAR-10,1,URS,accuracy,mean,,93.46,93.4575,0.0025,MATCH,per_seed_main_vision
tab:per_seed_main_vision,CIFAR-10,1,URS,accuracy,se,,0.16,0.160747,0.000747,MATCH,per_seed_main_vision
tab:per_seed_main_vision,CIFAR-10,2,Magnitude,accuracy,seed,0,94.3,94.3,0.0,MATCH,per_seed_main_vision
tab:per_seed_main_vision,CIFAR-10,2,Magnitude,accuracy,seed,1,94.94,94.94,0.0,MATCH,per_seed_main_vision
tab:per_seed_main_vision,CIFAR-10,2,Magnitude,accuracy,seed,2,94.53,94.53,0.0,MATCH,per_seed_main_vision
tab:per_seed_main_vision,CIFAR-10,2,Magnitude,accuracy,seed,3,94.34,94.34,0.0,MATCH,per_seed_main_vision
tab:per_seed_main_vision,CIFAR-10,2,Magnitude,accuracy,mean,,94.53,94.5275,0.0025,MATCH,per_seed_main_vision
tab:per_seed_main_vision,CIFAR-10,2,Magnitude,accuracy,se,,0.15,0.146366,0.003634,MATCH,per_seed_main_vision
